"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
442392276,NA,"2023-02-20",6,2,0,0,"[""2""]",0,NA,NA,NA
442392619,NA,"2023-02-28",15,4,2,3,"[""2""]",2,NA,NA,NA
442397590,NA,"2023-03-10",15,2,2,4,"[""1""]",2,NA,NA,NA
442397590,NA,"2023-03-10",15,4,7,4,"[""2""]",7,NA,NA,NA
442398410,NA,"2023-01-31",10,13,7,5,"[""1"", ""2"", ""4""]",1,NA,NA,NA
442399309,NA,"2023-02-28",10,13,7,5,"[""1"", ""2""]",0,NA,NA,NA
442399313,NA,"2023-03-17",15,88,0,0,"[""88""]",0,NA,NA,NA
442401776,NA,"2023-03-24",15,3,2,5,"[""2""]",2,NA,NA,NA
442403319,NA,"2023-03-31",15,4,5,6,"[""2""]",5,NA,NA,NA
442407668,NA,"2023-02-28",6,3,8,4,"[""2""]",8,NA,NA,NA
442407668,NA,"2023-02-28",6,4,5,4,"[""2""]",5,NA,NA,NA
442417388,NA,"2023-06-15",23,88,1,1,"[""1""]",1,NA,NA,NA
442433998,NA,"2023-06-23",18,88,1,1,"[""2""]",1,NA,NA,NA
442487297,NA,"2023-01-16",19,2,2,1,"[""1""]",0,NA,NA,NA
442487297,NA,"2023-01-16",19,13,7,8030,"[""1""]",0,NA,NA,NA
442487297,NA,"2023-01-16",19,14,10,10063,"[""1""]",0,NA,NA,NA
442495211,NA,"2023-02-16",19,2,2,6,"[""1""]",0,NA,NA,NA
442495211,NA,"2023-02-16",19,13,3,3127,"[""1""]",0,NA,NA,NA
442495211,NA,"2023-02-16",19,14,3,2609,"[""1""]",0,NA,NA,NA
442495211,NA,"2023-02-16",19,88,1,90,"[""1""]",0,NA,NA,NA
442495211,NA,"2023-02-16",19,88,1,40,"[""1""]",0,NA,NA,NA
442499772,NA,"2023-03-16",19,13,5,10925,"[""1""]",0,NA,NA,NA
442499772,NA,"2023-03-16",19,14,3,2483,"[""1""]",0,NA,NA,NA
442511262,NA,"2023-04-16",19,13,5,10850,"[""1""]",0,NA,NA,NA
442511262,NA,"2023-04-16",19,14,8,10468,"[""1""]",0,NA,NA,NA
442524492,NA,"2023-04-07",15,1,4,6,"[""2""]",2,NA,NA,NA
442527558,NA,"2023-04-13",15,3,4,6,"[""2""]",4,NA,NA,NA
442530108,NA,"2023-04-21",15,1,4,5,"[""2""]",4,NA,NA,NA
442534638,NA,"2023-04-28",15,3,4,5,"[""2""]",4,NA,NA,NA
442542855,NA,"2023-03-10",6,2,0,0,"[""2""]",0,NA,NA,NA
442543281,NA,"2023-03-03",6,2,0,0,"[""2""]",0,NA,NA,NA
442941185,NA,"2023-06-16",19,13,6,10620,"[""1""]",0,NA,NA,NA
442941185,NA,"2023-06-16",19,14,5,1332,"[""1""]",0,NA,NA,NA
443091646,NA,"2023-03-24",6,2,0,0,"[""2""]",0,NA,NA,NA
443260438,NA,"2023-06-17",14,3,3,3,"[""2""]",1,NA,NA,NA
443452127,NA,"2023-03-30",6,3,4,4,"[""2""]",4,NA,NA,NA
443452127,NA,"2023-03-30",6,4,5,4,"[""2""]",5,NA,NA,NA
443452127,NA,"2023-03-30",6,88,2,3,"[""2""]",2,NA,NA,NA
443452127,NA,"2023-03-30",6,2,2,4,"[""2""]",2,NA,NA,NA
443452127,NA,"2023-03-30",6,8,2,1,"[""3""]",2,NA,NA,NA
443453699,NA,"2023-06-23",21,2,1,3,"[""2""]",1,NA,NA,NA
443455332,NA,"2023-04-07",6,2,0,0,"[""2""]",0,NA,NA,NA
443462964,NA,"2023-06-23",4,2,0,1,"[""1""]",0,NA,NA,NA
443463991,NA,"2023-04-12",6,3,0,0,"[""2""]",0,NA,NA,NA
443472475,NA,"2023-09-08",11,3,1,3,"[""2""]",1,NA,NA,NA
443472475,NA,"2023-09-08",11,3,1,3,"[""2""]",1,NA,NA,NA
443520309,NA,"2023-04-20",6,2,0,0,"[""2""]",0,NA,NA,NA
443537930,NA,"2023-04-28",6,3,9,4,"[""2""]",9,NA,NA,NA
443537930,NA,"2023-04-28",6,4,1,4,"[""2""]",1,NA,NA,NA
443537930,NA,"2023-04-28",6,88,3,4,"[""2""]",3,NA,NA,NA
443552899,NA,"2023-01-31",1,14,1,150,"[""2""]",1,NA,NA,NA
443552899,NA,"2023-01-31",1,88,1,55,"[""2""]",1,NA,NA,NA
443560040,NA,"2023-02-28",1,88,1,55,"[""2""]",55,NA,NA,NA
443560040,NA,"2023-02-28",1,3,1,100,"[""2""]",1,NA,NA,NA
443560040,NA,"2023-02-28",1,88,1,6,"[""2""]",0,NA,NA,NA
443560040,NA,"2023-02-28",1,13,1,200,"[""2""]",1,NA,NA,NA
